Link number,URL,Expected Title,Expected Description
1,https://point.md/,Новости Молдовы - Point.md,"Последние новости Молдовы, политические и общественные события, спортивные обозрения и прочие события страны"
2,https://point.md/ru/,Новости Молдовы - Point.md,"Последние новости Молдовы, политические и общественные события, спортивные обозрения и прочие события страны"
3,https://point.md/ru/curs/,"Курсы валют в Молдове. Курс доллара и курс евро, курс рубля и гривны","Курс валют от 16 банков Молдовы. Свежий курс доллара, евро, рубля, гривны, и лея от Banca de economii, Deghest, Banca Socială и др. Онлайн конвертер валют"
4,https://point.md/ru/novosti/,Новости Молдовы - Point.md,"Политика и общество, экономика, образование, происшествия, наука, спорт. Только актуальные новости и события.Курс валют, карта Молдовы, ТВ-программа."
5,https://point.md/ru/tv/,Программа Телепередач в Молдове Телепрограмма,"Расписание программ ТВ. Программа Телепередач в Молдове Телепрограмма: программа ТВ-передач на сегодня, на завтра, на неделю - настройки телеканалов, все телепередачи по жанрам и по времени."
6,https://point.md/ro/tv/,Programul de emisiuni TV în Moldova,"Programul de emisiuni TV. Programul de emisiuni TV în Moldova pe azi, pe maine, pe o săptămână - setarea telecanalelor."
7,https://point.md/ro/curs/,"Toate cursurile valutare din Republica Moldova. Curs euro și dolar, curs rublă și hrivnă","Curs valutar bănci din Republica Moldova - BNM, Deghest, Banca Socială etc. Curs valutar actualizat la zi pentru principalele valute (curs euro, curs dolar, curs rublă, curs lei)"
8,https://point.md/ro/tv/you,"Programul TV Ю Programul de emisiuni Ю pentru ziua de azi, pentru toată săptămâna","Canalul TV Ю: programul de emisiuni al canalului Ю pentru o săptămână, programul TV de emisiuni al canalului Ю pentru astăzi și mâine"
9,https://point.md/ro/tv/tv8,"Programul TV TV8 Programul de emisiuni TV8 pentru ziua de azi, pentru toată săptămâna","Canalul TV TV8: programul de emisiuni al canalului TV8 pentru o săptămână, programul TV de emisiuni al canalului TV8 pentru astăzi și mâine"
10,https://point.md/ru/tv/canal3,"Телепрограмма Canal 3 Программа передач Canal 3 на сегодня, на неделю.","Телеканал Canal 3: программа телепередач канала Canal 3 на сегодня и на завтра, программа ТВ передач канала Canal 3 на неделю."
11,https://point.md/ro/tv/tv1000,"Programul TV TV1000 Programul de emisiuni TV1000 pentru ziua de azi, pentru toată săptămâna","Canalul TV TV1000: programul de emisiuni al canalului TV1000 pentru o săptămână, programul TV de emisiuni al canalului TV1000 pentru astăzi și mâine"
12,https://point.md/ru/tv/national,"Телепрограмма National TV Программа передач National TV на сегодня, на неделю.","Телеканал National TV: программа телепередач канала National TV на сегодня и на завтра, программа ТВ передач канала National TV на неделю."
13,https://point.md/ru/tv/n4,"Телепрограмма N4 Программа передач N4 на сегодня, на неделю.","Телеканал N4: программа телепередач канала N4 на сегодня и на завтра, программа ТВ передач канала N4 на неделю."
14,https://point.md/ru/tv/moyaplaneta,"Телепрограмма Моя планета Программа передач Моя планета на сегодня, на неделю.","Телеканал Моя планета: программа телепередач канала Моя планета на сегодня и на завтра, программа ТВ передач канала Моя планета на неделю."
15,https://point.md/ro/tv/disney,"Programul TV Disney Channel Programul de emisiuni Disney Channel pentru ziua de azi, pentru toată săptămâna","Canalul TV Disney Channel: programul de emisiuni al canalului Disney Channel pentru o săptămână, programul TV de emisiuni al canalului Disney Channel pentru astăzi și mâine"
16,https://point.md/ro/tv/ctc,"Programul TV СТС Mega Programul de emisiuni СТС Mega pentru ziua de azi, pentru toată săptămâna","Canalul TV СТС Mega: programul de emisiuni al canalului СТС Mega pentru o săptămână, programul TV de emisiuni al canalului СТС Mega pentru astăzi și mâine"
17,https://point.md/ru/tv/tv3,"Телепрограмма ТВ3 Программа передач ТВ3 на сегодня, на неделю.","Телеканал ТВ3: программа телепередач канала ТВ3 на сегодня и на завтра, программа ТВ передач канала ТВ3 на неделю."
18,https://point.md/ru/catalog/Entertainment_and_recreation/,Развлечения и отдых,"Каталог сайтов, посвященных развлечениям и отдыху в Молдове. Каталог включает сайты турфирм, продаж авиабилетов, гостиниц, баров, ресторанов, клубов Молдовы"
19,https://point.md/ro/tv/jurnaltv,"Programul TV JurnalTV Programul de emisiuni JurnalTV pentru ziua de azi, pentru toată săptămâna","Canalul TV JurnalTV: programul de emisiuni al canalului JurnalTV pentru o săptămână, programul TV de emisiuni al canalului JurnalTV pentru astăzi și mâine"
20,https://point.md/ru/tv/mir,"Телепрограмма Мир Программа передач Мир на сегодня, на неделю.","Телеканал Мир: программа телепередач канала Мир на сегодня и на завтра, программа ТВ передач канала Мир на неделю."
21,https://point.md/ru/tv/ictv,"Телепрограмма ICTV Программа передач ICTV на сегодня, на неделю.","Телеканал ICTV: программа телепередач канала ICTV на сегодня и на завтра, программа ТВ передач канала ICTV на неделю."
22,https://point.md/ru/tv/canal2,"Телепрограмма Canal 2 Программа передач Canal 2 на сегодня, на неделю.","Телеканал Canal 2: программа телепередач канала Canal 2 на сегодня и на завтра, программа ТВ передач канала Canal 2 на неделю."
23,https://point.md/ru/tv/k1,"Телепрограмма К 1 Программа передач К 1 на сегодня, на неделю.","Телеканал К 1: программа телепередач канала К 1 на сегодня и на завтра, программа ТВ передач канала К 1 на неделю."
24,https://point.md/ro/tv/prime,"Programul TV Prime Programul de emisiuni Prime pentru ziua de azi, pentru toată săptămâna","Canalul TV Prime: programul de emisiuni al canalului Prime pentru o săptămână, programul TV de emisiuni al canalului Prime pentru astăzi și mâine"
25,https://point.md/ru/tv/maxxi,"Телепрограмма Maxxi-TV Программа передач Maxxi-TV на сегодня, на неделю.","Телеканал Maxxi-TV: программа телепередач канала Maxxi-TV на сегодня и на завтра, программа ТВ передач канала Maxxi-TV на неделю."
